accuracy,loss,learning_rate,epoch
0.05454545468091965,4.592815399169922,9.999999747378752e-05,1
0.05681818351149559,4.479956150054932,9.999999747378752e-05,2
0.057102274149656296,4.498118877410889,9.999999747378752e-05,3
0.05795454606413841,4.424246311187744,9.999999747378752e-05,4
0.05624999850988388,4.35655403137207,9.999999747378752e-05,5
0.06534090638160706,4.372696876525879,9.999999747378752e-05,6
0.06335227191448212,4.356649398803711,9.999999747378752e-05,7
0.06164772808551788,4.297156810760498,9.999999747378752e-05,8
0.06676136702299118,4.212071418762207,9.999999747378752e-05,9
0.06022727116942406,4.241451740264893,9.999999747378752e-05,10
0.0676136389374733,4.143060207366943,9.999999747378752e-05,11
0.08238636702299118,4.020243167877197,9.999999747378752e-05,12
0.08267045766115189,3.9858336448669434,9.999999747378752e-05,13
0.09431818127632141,3.949676275253296,9.999999747378752e-05,14
0.09573863446712494,3.867762327194214,9.999999747378752e-05,15
